2026-06-09 09:45:26 | MASUK BLOK SOSMED | MAC=9C:C7:D3:D3:0D:48 | DST=57.144.100.34
2026-06-09 09:49:26 | MASUK BLOK SOSMED | MAC=9C:C7:D3:D3:0D:48 | DST=57.144.100.34
2026-06-09 09:49:36 | MASUK BLOK SOSMED | MAC=9C:C7:D3:D3:0D:48 | DST=57.144.100.34
2026-06-09 09:49:46 | MASUK BLOK SOSMED | MAC=9C:C7:D3:D3:0D:48 | DST=57.144.100.34
2026-06-09 09:50:36 | MASUK BLOK SOSMED | MAC=9C:C7:D3:D3:0D:48 | DST=instagram.com
2026-06-09 09:50:46 | MASUK BLOK SOSMED | MAC=9C:C7:D3:D3:0D:48 | DST=instagram.com
2026-06-09 09:51:06 | MASUK BLOK SOSMED | MAC=9C:C7:D3:D3:0D:48 | DST=instagram.com
2026-06-09 09:51:16 | MASUK BLOK SOSMED | MAC=9C:C7:D3:D3:0D:48 | DST=157.240.208.174
2026-06-09 09:54:26 | MASUK BLOK SOSMED | MAC=9C:C7:D3:D3:0D:48 | DST=instagram.com
2026-06-09 10:20:36 | MASUK BLOK SOSMED | MAC=28:CF:E9:56:C5:E9 | DST=fbcdn.net
2026-06-09 10:20:46 | MASUK BLOK SOSMED | MAC=28:CF:E9:56:C5:E9 | DST=fbcdn.net
2026-06-09 10:21:26 | MASUK BLOK SOSMED | MAC=28:CF:E9:56:C5:E9 | DST=fbcdn.net
2026-06-09 10:21:56 | MASUK BLOK SOSMED | MAC=28:CF:E9:56:C5:E9 | DST=fbcdn.net
2026-06-09 10:22:26 | MASUK BLOK SOSMED | MAC=28:CF:E9:56:C5:E9 | DST=fbcdn.net
2026-06-09 10:23:56 | MASUK BLOK SOSMED | MAC=28:CF:E9:56:C5:E9 | DST=star-mini.c10r.facebook.com
2026-06-09 10:24:26 | MASUK BLOK SOSMED | MAC=28:CF:E9:56:C5:E9 | DST=facebook.com
2026-06-09 10:24:56 | MASUK BLOK SOSMED | MAC=28:CF:E9:56:C5:E9 | DST=facebook.com
2026-06-09 10:25:26 | MASUK BLOK SOSMED | MAC=28:CF:E9:56:C5:E9 | DST=facebook.com
2026-06-09 10:25:36 | MASUK BLOK SOSMED | MAC=28:CF:E9:56:C5:E9 | DST=star-mini.c10r.facebook.com
2026-06-09 10:25:56 | MASUK BLOK SOSMED | MAC=28:CF:E9:56:C5:E9 | DST=facebook.com
2026-06-09 10:26:26 | MASUK BLOK SOSMED | MAC=28:CF:E9:56:C5:E9 | DST=facebook.com
2026-06-09 10:26:57 | MASUK BLOK SOSMED | MAC=28:CF:E9:56:C5:E9 | DST=57.144.100.1
2026-06-09 10:27:56 | MASUK BLOK SOSMED | MAC=28:CF:E9:56:C5:E9 | DST=facebook.com
2026-06-09 10:28:56 | MASUK BLOK SOSMED | MAC=28:CF:E9:56:C5:E9 | DST=facebook.com
2026-06-09 10:29:26 | MASUK BLOK SOSMED | MAC=28:CF:E9:56:C5:E9 | DST=facebook.com
2026-06-09 10:29:57 | MASUK BLOK SOSMED | MAC=28:CF:E9:56:C5:E9 | DST=57.144.100.1
2026-06-09 10:30:26 | MASUK BLOK SOSMED | MAC=28:CF:E9:56:C5:E9 | DST=fbcdn.net
2026-06-09 10:30:36 | MASUK BLOK SOSMED | MAC=28:CF:E9:56:C5:E9 | DST=fbcdn.net
2026-06-09 10:30:56 | MASUK BLOK SOSMED | MAC=28:CF:E9:56:C5:E9 | DST=fbcdn.net
2026-06-09 10:31:26 | MASUK BLOK SOSMED | MAC=28:CF:E9:56:C5:E9 | DST=fbcdn.net
2026-06-09 10:31:56 | MASUK BLOK SOSMED | MAC=28:CF:E9:56:C5:E9 | DST=fbcdn.net
2026-06-09 10:32:26 | MASUK BLOK SOSMED | MAC=28:CF:E9:56:C5:E9 | DST=facebook.com
2026-06-09 10:51:17 | MASUK BLOK SOSMED | MAC=2E:0D:FE:4B:94:4E | DST=e28622.a.akamaiedge.net
2026-06-09 10:51:27 | MASUK BLOK SOSMED | MAC=2E:0D:FE:4B:94:4E | DST=e28622.a.akamaiedge.net
2026-06-09 10:51:37 | MASUK BLOK SOSMED | MAC=2E:0D:FE:4B:94:4E | DST=e28622.a.akamaiedge.net
2026-06-09 10:51:47 | MASUK BLOK SOSMED | MAC=2E:0D:FE:4B:94:4E | DST=e28622.a.akamaiedge.net
2026-06-09 10:53:27 | MASUK BLOK SOSMED | MAC=2E:0D:FE:4B:94:4E | DST=facebook.com
2026-06-09 10:53:28 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=facebook.com
2026-06-09 10:53:37 | MASUK BLOK SOSMED | MAC=2E:0D:FE:4B:94:4E | DST=31.13.95.35
2026-06-09 10:53:57 | MASUK BLOK SOSMED | MAC=2E:0D:FE:4B:94:4E | DST=31.13.95.35
2026-06-09 10:54:17 | MASUK BLOK SOSMED | MAC=2E:0D:FE:4B:94:4E | DST=31.13.95.35
2026-06-09 10:54:27 | MASUK BLOK SOSMED | MAC=2E:0D:FE:4B:94:4E | DST=tiktok.com
2026-06-09 10:54:37 | MASUK BLOK SOSMED | MAC=2E:0D:FE:4B:94:4E | DST=tiktok.com
2026-06-09 10:54:47 | MASUK BLOK SOSMED | MAC=2E:0D:FE:4B:94:4E | DST=23.53.15.130
2026-06-09 10:55:07 | MASUK BLOK SOSMED | MAC=2E:0D:FE:4B:94:4E | DST=tiktokv.com
2026-06-09 10:55:17 | MASUK BLOK SOSMED | MAC=2E:0D:FE:4B:94:4E | DST=tiktokv.com
2026-06-09 10:55:57 | MASUK BLOK SOSMED | MAC=2E:0D:FE:4B:94:4E | DST=tiktokv.com
